Employee Number,Decimal Number
207272,40.00
209148,51.66
209148,11.25
209148,.00
209148,22.00
209148,17.90
207847,292.00
207847,40.00
207847,19.75
207847,256.28
207847,73.88
207847,615.46
207847,40.00
208188,40.00
209100,108.58
209100,.00
209100,.00
209100,18.00
209100,30.89
208708,.00
208708,180.50
208708,40.00
208708,227.14
208708,218.48
208708,40.00
200395,64.00
207602,816.72
207602,300.00
207602,.00
207602,179.37
207602,536.04
207602,662.86
207602,40.00
207255,349.38
207255,300.00
207255,40.00
207255,179.87
207255,036.12
207255,833.86
207255,40.00
208891,.00
208891,22.75
208891,36.00
208891,352.78
208891,117.66
208891,36.00
208891,541.94
208891,.00
208891,40.00
208891,.00
208891,.00
208891,.00
208891,.00
208891,.00
208891,10.00
208891,965.18
208891,40.00
208704,57.65
208704,6.00
208704,56.00
208704,.00
208704,385.93
208704,20.00
208704,40.00
207338,483.97
207338,300.00
207338,40.00
207338,169.00
207338,523.22
207338,035.36
207338,40.00
207820,472.40
207820,300.00
207820,2.50
207820,180.00
207820,526.96
207820,985.36
207820,40.00
208531,.00
208531,300.00
208531,40.00
208531,179.87
208531,779.86
208531,669.18
208531,40.00
208126,15.87
208126,.00
208126,172.97
208126,73.12
208126,239.96
208126,40.00
208190,146.26
208190,16.00
208190,56.00
208190,83.42
208972,48.00
209168,40.00
209116,95.02
209116,.00
209116,.00
209116,22.00
209116,31.64
208343,16.25
208343,.00
208343,55.00
208343,144.08
208343,465.41
208343,.00
208705,238.00
208705,40.00
208705,48.25
208705,622.74
208705,273.14
208705,40.00
208168,300.00
208168,40.00
208168,40.00
208168,480.00
208168,.06
208168,934.19
208168,24.32
208168,455.96
208168,16.00
209117,84.70
209117,.00
209117,.00
209117,20.00
209117,5.37
208656,236.28
208656,3.00
208656,.00
208656,.00
208656,3.90
208910,.00
208910,44.15
208910,8.28
208173,674.68
208173,155.00
208173,40.00
208173,.00
208173,.00
208173,24.00
208173,858.25
208173,40.00
207059,47.21
207059,1.25
207059,32.50
207059,489.38
207059,769.36
207059,.00
208781,4.30
208781,1.00
208781,4.00
208781,.00
208781,28.00
208781,2.24
208781,.00
208716,12.25
208716,61.43
208716,30.61
208425,40.00
208193,300.00
208193,10.00
208193,22.00
208193,722.52
208193,9.24
208193,497.46
208193,40.00
208760,51.50
208760,233.42
208760,63.04
208450,296.37
208450,2.50
208450,32.50
208450,75.97
208450,271.53
208450,6.50
208040,406.30
208040,125.00
208040,.00
208040,40.00
